playerid,schoolid,yearid_x,schoolname,schoolcity,schoolstate,schoolnick,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namegiven,weight,height,bats,throws,debut,finalgame,retroid,bbrefid,yearid,teamid_x,lgid_x,g_all,gs,g_batting,g_defense,g_p,g_c,g_1b,g_2b,g_3b,g_ss,g_lf,g_cf,g_rf,g_of,g_dh,g_ph,g_pr,teamid_y,lgid_y,salary
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,DET,AL,23,0.0,23,2,0,0,2,0,0,0,0,0,0,0,0.0,19.0,1.0,,,
alexada01,milligantn,1924,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1933,BOS,AL,94,75.0,94,78,0,0,78,0,0,0,0,0,0,0,0.0,14.0,0.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1929,DET,AL,155,155.0,155,155,0,0,155,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1930,DET,AL,154,154.0,154,154,0,0,154,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1931,DET,AL,135,129.0,135,129,0,0,126,0,0,0,4,0,0,4,0.0,4.0,0.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,BOS,AL,101,101.0,101,101,0,0,101,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1932,DET,AL,23,0.0,23,2,0,0,2,0,0,0,0,0,0,0,0.0,19.0,1.0,,,
alexada01,milligantn,1925,Milligan College,Milligan College,TN,USA,1903.0,4.0,26.0,USA,TN,Greeneville,1979.0,3.0,2.0,USA,TN,Greeneville,Dale,Alexander,David Dale,210.0,75.0,R,R,1929-04-16,1933-09-23,alexd101,alexada01,1933,BOS,AL,94,75.0,94,78,0,0,78,0,0,0,0,0,0,0,0.0,14.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1912,BRO,NL,20,15.0,20,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1913,BRO,NL,34,25.0,34,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,BRO,NL,37,21.0,37,36,36,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,PTF,FL,1,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1915,PTF,FL,41,37.0,41,41,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1916,BSN,NL,19,14.0,19,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1907,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1917,BSN,NL,29,14.0,29,29,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1912,BRO,NL,20,15.0,20,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1913,BRO,NL,34,25.0,34,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,BRO,NL,37,21.0,37,36,36,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,PTF,FL,1,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1915,PTF,FL,41,37.0,41,41,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1916,BSN,NL,19,14.0,19,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1908,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1917,BSN,NL,29,14.0,29,29,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1912,BRO,NL,20,15.0,20,20,20,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1913,BRO,NL,34,25.0,34,34,34,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,BRO,NL,37,21.0,37,36,36,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1914,PTF,FL,1,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1915,PTF,FL,41,37.0,41,41,41,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1916,BSN,NL,19,14.0,19,19,19,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
allenfr01,rhodestn,1909,Rhodes College,Memphis,TN,USA,1888.0,8.0,26.0,USA,AL,Newbern,1933.0,7.0,30.0,USA,AL,Gainsville,Frank,Allen,Frank Leon,175.0,69.0,R,L,1912-04-24,1917-09-19,allef101,allenfr01,1917,BSN,NL,29,14.0,29,29,29,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1959,CHN,NL,135,103.0,135,121,0,0,0,0,0,0,0,120,1,121,0.0,17.0,3.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1960,CHN,NL,119,83.0,119,100,0,0,21,0,0,0,27,30,24,79,0.0,25.0,2.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1961,CHN,NL,138,131.0,138,132,0,0,3,0,0,0,1,25,115,130,0.0,7.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1962,CHN,NL,147,140.0,147,142,0,0,16,0,0,0,0,6,125,129,0.0,6.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1963,SLN,NL,135,118.0,135,124,0,0,0,0,0,0,13,0,116,124,0.0,13.0,3.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1964,NYN,NL,124,105.0,124,109,0,0,0,0,0,0,95,0,14,109,0.0,19.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1965,CHN,NL,90,44.0,90,47,0,0,2,0,0,0,44,0,1,45,0.0,45.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1966,CHN,NL,88,37.0,88,46,0,0,4,0,0,0,41,0,1,42,0.0,48.0,0.0,,,
altmage01,tennst,1953,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1967,CHN,NL,15,1.0,15,5,0,0,1,0,0,0,3,0,1,4,0.0,10.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1959,CHN,NL,135,103.0,135,121,0,0,0,0,0,0,0,120,1,121,0.0,17.0,3.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1960,CHN,NL,119,83.0,119,100,0,0,21,0,0,0,27,30,24,79,0.0,25.0,2.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1961,CHN,NL,138,131.0,138,132,0,0,3,0,0,0,1,25,115,130,0.0,7.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1962,CHN,NL,147,140.0,147,142,0,0,16,0,0,0,0,6,125,129,0.0,6.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1963,SLN,NL,135,118.0,135,124,0,0,0,0,0,0,13,0,116,124,0.0,13.0,3.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1964,NYN,NL,124,105.0,124,109,0,0,0,0,0,0,95,0,14,109,0.0,19.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1965,CHN,NL,90,44.0,90,47,0,0,2,0,0,0,44,0,1,45,0.0,45.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1966,CHN,NL,88,37.0,88,46,0,0,4,0,0,0,41,0,1,42,0.0,48.0,0.0,,,
altmage01,tennst,1954,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1967,CHN,NL,15,1.0,15,5,0,0,1,0,0,0,3,0,1,4,0.0,10.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1959,CHN,NL,135,103.0,135,121,0,0,0,0,0,0,0,120,1,121,0.0,17.0,3.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1960,CHN,NL,119,83.0,119,100,0,0,21,0,0,0,27,30,24,79,0.0,25.0,2.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1961,CHN,NL,138,131.0,138,132,0,0,3,0,0,0,1,25,115,130,0.0,7.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1962,CHN,NL,147,140.0,147,142,0,0,16,0,0,0,0,6,125,129,0.0,6.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1963,SLN,NL,135,118.0,135,124,0,0,0,0,0,0,13,0,116,124,0.0,13.0,3.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1964,NYN,NL,124,105.0,124,109,0,0,0,0,0,0,95,0,14,109,0.0,19.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1965,CHN,NL,90,44.0,90,47,0,0,2,0,0,0,44,0,1,45,0.0,45.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1966,CHN,NL,88,37.0,88,46,0,0,4,0,0,0,41,0,1,42,0.0,48.0,0.0,,,
altmage01,tennst,1955,Tennessee State University,Nashville,TN,USA,1933.0,3.0,20.0,USA,NC,Goldsboro,,,,,,,George,Altman,George Lee,200.0,76.0,L,R,1959-04-11,1967-10-01,altmg101,altmage01,1967,CHN,NL,15,1.0,15,5,0,0,1,0,0,0,3,0,1,4,0.0,10.0,0.0,,,
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2010,PIT,NL,95,94.0,95,94,0,0,0,0,94,0,0,0,0,0,0.0,1.0,0.0,,,
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2011,PIT,NL,74,62.0,74,66,0,0,0,0,66,0,0,0,0,0,0.0,10.0,0.0,PIT,NL,2050000.0
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2012,PIT,NL,149,144.0,149,145,0,0,0,0,145,0,0,0,0,0,1.0,4.0,0.0,PIT,NL,2200000.0
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2013,PIT,NL,152,149.0,152,150,0,0,0,0,150,0,0,0,0,0,1.0,3.0,0.0,PIT,NL,700000.0
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2014,PIT,NL,122,103.0,122,104,0,0,5,0,99,0,0,0,0,0,3.0,16.0,0.0,PIT,NL,4250000.0
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2015,PIT,NL,150,124.0,150,124,0,0,124,0,0,0,0,0,0,0,5.0,24.0,0.0,PIT,NL,5750000.0
alvarpe01,vandy,2006,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2016,BAL,AL,109,91.0,109,12,0,0,0,0,12,0,0,0,0,0,87.0,14.0,0.0,BAL,AL,5731704.0
alvarpe01,vandy,2007,Vanderbilt University,Nashville,TN,USA,1987.0,2.0,6.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Pedro,Alvarez,Pedro Manuel,250.0,75.0,L,R,2010-06-16,2016-10-01,alvap001,alvarpe01,2010,PIT,NL,95,94.0,95,94,0,0,0,0,94,0,0,0,0,0,0.0,1.0,0.0,,,
